deviceName,pm10,pm25,co2,tvoc,temperature,humidity,checkDateTime
SCH_멀티미디어관_M503_강의실_에어컨,,,,,23,30,2023/12/06 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,23,30,2023/12/06 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,23,30,2023/12/06 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/06 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/06 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/06 5:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/06 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/06 7:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,28,2023/12/06 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/06 9:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/06 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/06 11:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,30,2023/12/06 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/06 13:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/06 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,33,2023/12/06 15:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,34,2023/12/06 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,34,2023/12/06 17:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,36,2023/12/06 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,36,2023/12/06 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,36,2023/12/06 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,34,2023/12/06 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,34,2023/12/06 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,34,2023/12/06 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,35,2023/12/07 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,33,2023/12/07 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,31,2023/12/07 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/07 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/07 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/07 5:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/07 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,28,2023/12/07 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,28,2023/12/07 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,28,2023/12/07 9:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,27,2023/12/07 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,33,2023/12/07 11:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/07 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/07 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,30,2023/12/07 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,30,2023/12/07 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,30,2023/12/07 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/07 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/07 18:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,31,2023/12/07 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/07 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/07 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/07 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/07 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,31,2023/12/08 0:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/08 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,25,30,2023/12/08 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,30,2023/12/08 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,30,2023/12/08 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,26,28,2023/12/08 5:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,29,2023/12/08 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,29,2023/12/08 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,29,2023/12/08 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,29,2023/12/08 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,29,2023/12/08 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,31,2023/12/08 11:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,31,2023/12/08 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,31,2023/12/08 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,31,2023/12/08 14:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,33,2023/12/08 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,33,2023/12/08 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/08 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/08 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/08 19:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,34,2023/12/08 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/08 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/08 22:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/08 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/09 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/09 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,36,2023/12/09 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 3:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 5:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,36,2023/12/09 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 11:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 12:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 17:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,37,2023/12/09 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/09 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/09 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/09 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/09 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,39,2023/12/10 0:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,27,39,2023/12/10 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,28,39,2023/12/10 2:03
